,Lunedì,Martedì,Mercoledì,Giovedì,Venerdì
9:00-10:00,,Analog integrated circuits  - C7,Advanced mathematical methods for engineers  - C7,,Analog integrated circuits  - C7
10:00-11:00,,Analog integrated circuits  - C7,Advanced mathematical methods for engineers  - C7,Advanced mathematical methods for engineers  - C7,Analog integrated circuits  - C7
11:00-12:00,Advanced mathematical methods for engineers  - C7,Advanced mathematical methods for engineers  - C7,Electronic instrumentation and technologies  - C7,Analog integrated circuits  - C7,Electronic instrumentation and technologies  - C7
12:00-13:00,Advanced mathematical methods for engineers  - C7,Advanced mathematical methods for engineers  - C7,Electronic instrumentation and technologies  - C7,Analog integrated circuits  - C7,Electronic instrumentation and technologies  - C7
13:00-14:00,,,,,
14:00-15:00,Introduction to quantum mechanics  - C7,Electronic instrumentation and technologies  - E3,Analog integrated circuits  - D4,,,,Introduction to quantum mechanics  - C7,,,
15:00-16:00,Introduction to quantum mechanics  - C7,Electronic instrumentation and technologies  - E3,Analog integrated circuits  - D4,,,,Introduction to quantum mechanics  - C7,,,
16:00-17:00,,,Tutorato Advanced mathematical methods for engineers  - E3,,
17:00-18:00,,,Tutorato Advanced mathematical methods for engineers  - E3,,
