,Lunedì,Martedì,Mercoledì,Giovedì,Venerdì
9:00-10:00,Analisi matematica 1  - EF4,Analisi matematica 1  - aulaF-Campus Aquae,,,Analisi matematica 1  - aulaF-Campus Aquae
10:00-11:00,Analisi matematica 1  - EF4,Analisi matematica 1  - aulaF-Campus Aquae,,,Analisi matematica 1  - aulaF-Campus Aquae
11:00-12:00,Geometria e algebra  - EF4,Geometria e algebra  - aulaF-Campus Aquae,,,Fondamenti di informatica  - aulaF-Campus Aquae
12:00-13:00,Geometria e algebra  - EF4,Geometria e algebra  - aulaF-Campus Aquae,,,Fondamenti di informatica  - aulaF-Campus Aquae
13:00-14:00,,,,,
14:00-15:00,Economia (gruppo A K)  - EF1,,Fondamenti di informatica  - C2,Geometria e algebra  - aulaF-Campus Aquae,Economia (gruppo L Z)  - EF4,Economia (gruppo L-Z)  - EF4,,Fondamenti di informatica  - C3,,,,,Fondamenti di informatica  - aulaF-Campus Aquae,,
15:00-16:00,Economia (gruppo A K)  - EF1,,Fondamenti di informatica  - C2,Geometria e algebra  - aulaF-Campus Aquae,Economia (gruppo L Z)  - EF4,Economia (gruppo L-Z)  - EF4,,Fondamenti di informatica  - C3,,,,,Fondamenti di informatica  - aulaF-Campus Aquae,,
16:00-17:00,Economia (gruppo A K)  - EF1,,Fondamenti di informatica  - C2,Analisi matematica 1  - aulaF-Campus Aquae,,Economia (gruppo L Z)  - EF4,,Fondamenti di informatica  - C3,,,,,Fondamenti di informatica  - aulaF-Campus Aquae,,
17:00-18:00,Economia (gruppo A K)  - EF1,,Fondamenti di informatica  - C2,Analisi matematica 1  - aulaF-Campus Aquae,,Economia (gruppo L Z)  - EF4,,Fondamenti di informatica  - C3,,,,,Fondamenti di informatica  - aulaF-Campus Aquae,,
