,Lunedì,Martedì,Mercoledì,Giovedì,Venerdì
9:00-10:00,,Complementi di matematica  - E7,,Macchine idrauliche  - E6,Meccanica dei fluidi  - E1
10:00-11:00,,Complementi di matematica  - E7,,Macchine idrauliche  - E6,Meccanica dei fluidi  - E1
11:00-12:00,Macchine idrauliche  - E6,Fisica tecnica ambientale  - E6,Complementi di matematica  - E7,Fisica tecnica ambientale  - E6,
12:00-13:00,Macchine idrauliche  - E6,Fisica tecnica ambientale  - E6,Complementi di matematica  - E7,Fisica tecnica ambientale  - E6,
13:00-14:00,,,,,
14:00-15:00,Meccanica dei fluidi  - E7,,Contamination and remediation technologies for soils and groundwater  - E6,Complementi di scienza delle costruzioni  - G2,
15:00-16:00,Meccanica dei fluidi  - E7,,Contamination and remediation technologies for soils and groundwater  - E6,Complementi di scienza delle costruzioni  - G2,
16:00-17:00,,Fisica tecnica ambientale  - E6,Contamination and remediation technologies for soils and groundwater  - E6,Complementi di scienza delle costruzioni  - G2,
17:00-18:00,,Fisica tecnica ambientale  - E6,Contamination and remediation technologies for soils and groundwater  - E6,Complementi di scienza delle costruzioni  - G2,
