,Lunedì,Martedì,Mercoledì,Giovedì,Venerdì
9:00-10:00,,Complementi di matematica  - E7,,Reliable design and management of urban hydraulic infrastructures  - aulaRicciardi,Meccanica dei fluidi  - E1
10:00-11:00,,Complementi di matematica  - E7,,Reliable design and management of urban hydraulic infrastructures  - aulaRicciardi,Meccanica dei fluidi  - E1
11:00-12:00,,Fondazioni ed opere di sostegno  - E7,Complementi di matematica  - E7,Strutture in c.a.  - G2,
12:00-13:00,,Fondazioni ed opere di sostegno  - E7,Complementi di matematica  - E7,Strutture in c.a.  - G2,
13:00-14:00,,,,,
14:00-15:00,Meccanica dei fluidi  - E7,Fondamenti di ingegneria sanitaria ambientale  - E4,Fondazioni ed opere di sostegno  - E7,Reliable design and management of urban hydraulic infrastructures  - aulaRicciardi,,,Reliable design and management of urban hydraulic infrastructures  - aulaRicciardi,,,
15:00-16:00,Meccanica dei fluidi  - E7,Fondamenti di ingegneria sanitaria ambientale  - E4,Fondazioni ed opere di sostegno  - E7,Reliable design and management of urban hydraulic infrastructures  - aulaRicciardi,,,Reliable design and management of urban hydraulic infrastructures  - aulaRicciardi,,,
16:00-17:00,,Fondamenti di ingegneria sanitaria ambientale  - E4,Strutture in c.a.  - E7,Reliable design and management of urban hydraulic infrastructures  - aulaRicciardi,,,Reliable design and management of urban hydraulic infrastructures  - aulaRicciardi,,,
17:00-18:00,,Fondamenti di ingegneria sanitaria ambientale  - E4,Strutture in c.a.  - E7,Reliable design and management of urban hydraulic infrastructures  - aulaRicciardi,,,Reliable design and management of urban hydraulic infrastructures  - aulaRicciardi,,,
