Lunedì,Martedì,Mercoledì,Giovedì,Venerdì,
9:00-10:00,,Reti di calcolatori  - A1,Meccatronica  - A1,Meccatronica  - aula5,Identificazione dei modelli e analisi dei dati A  - A2
10:00-11:00,,Reti di calcolatori  - A1,Meccatronica  - A1,Meccatronica  - aula5,Identificazione dei modelli e analisi dei dati A  - A2
11:00-12:00,Basi di dati  - A2,,Basi di dati  - A1,Identificazione dei modelli e analisi dei dati A  - B1,Elettronica II A  - A1,,,Reti di calcolatori  - A1,Identificazione dei modelli e analisi dei dati A  - B2,
12:00-13:00,Basi di dati  - A2,,Basi di dati  - A1,Identificazione dei modelli e analisi dei dati A  - B1,Elettronica II A  - A1,,,Reti di calcolatori  - A1,Identificazione dei modelli e analisi dei dati A  - B2,
13:00-14:00,,,,,
14:00-15:00,Elettronica II A  - B3,Programmazione a oggetti e ingegneria del software  - A2,Meccatronica  - A1,Reti di calcolatori  - A1,Programmazione a oggetti e ingegneria del software  - A2,Elettronica II A  - A1,Programmazione a oggetti e ingegneria del software  - B1,,Reti di calcolatori  - C2,,,Programmazione a oggetti e ingegneria del software  - B2,,Reti di calcolatori  - C3,
15:00-16:00,Elettronica II A  - B3,Programmazione a oggetti e ingegneria del software  - A2,Meccatronica  - A1,Reti di calcolatori  - A1,Programmazione a oggetti e ingegneria del software  - A2,Elettronica II A  - A1,Programmazione a oggetti e ingegneria del software  - B1,,Reti di calcolatori  - C2,,,Programmazione a oggetti e ingegneria del software  - B2,,Reti di calcolatori  - C3,
16:00-17:00,Elettronica II A  - B3,Programmazione a oggetti e ingegneria del software  - A2,Identificazione dei modelli e analisi dei dati A  - A1,Basi di dati  - A2,Programmazione a oggetti e ingegneria del software  - A2,Elettronica II A  - A1,Programmazione a oggetti e ingegneria del software  - B1,,Basi di dati  - B1,,,Programmazione a oggetti e ingegneria del software  - B2,,Basi di dati  - B2,,,,,Elettronica II A  - A1,
17:00-18:00,Elettronica II A  - B3,Programmazione a oggetti e ingegneria del software  - A2,Identificazione dei modelli e analisi dei dati A  - A1,Basi di dati  - A2,Programmazione a oggetti e ingegneria del software  - A2,Elettronica II A  - A1,Programmazione a oggetti e ingegneria del software  - B1,,Basi di dati  - B1,,,Programmazione a oggetti e ingegneria del software  - B2,,Basi di dati  - B2,,,,,Elettronica II A  - A1,
