,Lunedì,Martedì,Mercoledì,Giovedì,Venerdì
9:00-10:00,,Laboratorio di CAD e BIM  - E1,Disegno digitale  - E1,Rilievo digitale del territorio e delle costruzioni  - E1,Tutorato Rilievo digitale del territorio e delle costruzioni  - aula5
10:00-11:00,,Laboratorio di CAD e BIM  - E1,Disegno digitale  - E1,Rilievo digitale del territorio e delle costruzioni  - E1,Tutorato Rilievo digitale del territorio e delle costruzioni  - aula5
11:00-12:00,Matematica per l'edilizia e il territorio  - E1,Laboratorio di CAD e BIM  - E1,Disegno digitale  - E1,Rilievo digitale del territorio e delle costruzioni  - E1,
12:00-13:00,Matematica per l'edilizia e il territorio  - E1,Laboratorio di CAD e BIM  - E1,Disegno digitale  - E1,Rilievo digitale del territorio e delle costruzioni  - E1,
13:00-14:00,,,,,
14:00-15:00,Rilievo digitale del territorio e delle costruzioni  - E1,Tutorato Laboratorio di CAD e BIM  - E1,Fondamenti di progettazione architettonica  - E1,Laboratorio di informatica applicata  - E1,
15:00-16:00,Rilievo digitale del territorio e delle costruzioni  - E1,Tutorato Laboratorio di CAD e BIM  - E1,Fondamenti di progettazione architettonica  - E1,Laboratorio di informatica applicata  - E1,
16:00-17:00,Matematica per l'edilizia e il territorio  - E1,,Tutorato Matematica per l'edilizia e il territorio  - E1,Laboratorio di informatica applicata  - E1,
17:00-18:00,Matematica per l'edilizia e il territorio  - E1,,Tutorato Matematica per l'edilizia e il territorio  - E1,Laboratorio di informatica applicata  - E1,
