,Lunedì,Martedì,Mercoledì,Giovedì,Venerdì
9:00-10:00,,Tecnica delle costruzioni  - aula8,Architettura e composizione architettonica 3  - H2,Tecnica delle costruzioni  - aula8,Architettura e composizione architettonica 3  - H2
10:00-11:00,,Tecnica delle costruzioni  - aula8,Architettura e composizione architettonica 3  - H2,Tecnica delle costruzioni  - aula8,Architettura e composizione architettonica 3  - H2
11:00-12:00,Tecnica delle costruzioni  - aula8,Tecnica delle costruzioni  - aula8,Architettura e composizione architettonica 3  - H2,Costruzioni idrauliche (urbane) B  - EF2,Architettura e composizione architettonica 3  - H2
12:00-13:00,Tecnica delle costruzioni  - aula8,Tecnica delle costruzioni  - aula8,Architettura e composizione architettonica 3  - H2,Costruzioni idrauliche (urbane) B  - EF2,Architettura e composizione architettonica 3  - H2
13:00-14:00,,,,,
14:00-15:00,,,Architettura e composizione architettonica 3  - H2,Tecnica delle costruzioni  - aula8,Costruzioni idrauliche (urbane) B  - EF2
15:00-16:00,,,Architettura e composizione architettonica 3  - H2,Tecnica delle costruzioni  - aula8,Costruzioni idrauliche (urbane) B  - EF2
16:00-17:00,,,Architettura e composizione architettonica 3  - H2,,
17:00-18:00,,,Architettura e composizione architettonica 3  - H2,,
