Lunedì,Martedì,Mercoledì,Giovedì,Venerdì,
9:00-10:00,,,Fisica matematica  - EF3,Fondamenti di automatica  - EF3,Fisica II  - EF3
10:00-11:00,,,Fisica matematica  - EF3,Fondamenti di automatica  - EF3,Fisica II  - EF3
11:00-12:00,,Elettrotecnica  - EF3,Fondamenti di automatica  - EF3,Fisica II  - EF3,Fisica matematica  - EF3
12:00-13:00,,Elettrotecnica  - EF3,Fondamenti di automatica  - EF3,Fisica II  - EF3,Fisica matematica  - EF3
13:00-14:00,,,,,
14:00-15:00,,Fisica matematica  - EF3,Fondamenti di automatica  - EF3,Elettrotecnica  - EF3,Elettrotecnica  - EF3
15:00-16:00,,Fisica matematica  - EF3,Fondamenti di automatica  - EF3,Elettrotecnica  - EF3,Elettrotecnica  - EF3
16:00-17:00,,,Tutorato Elettrotecnica  - EF3,Fondamenti di automatica  - EF3,,,,,Fondamenti di automatica  - C2,,,,,Fondamenti di automatica  - C3,
17:00-18:00,,,Tutorato Elettrotecnica  - EF3,Fondamenti di automatica  - EF3,,,,,Fondamenti di automatica  - C2,,,,,Fondamenti di automatica  - C3,
