,Lunedì,Martedì,Mercoledì,Giovedì,Venerdì
9:00-10:00,Ecologia applicata  - E1,Tecnica delle costruzioni  - aula8,,Tecnica delle costruzioni  - aula8,Costruzioni idrauliche urbane  - aula8
10:00-11:00,Ecologia applicata  - E1,Tecnica delle costruzioni  - aula8,,Tecnica delle costruzioni  - aula8,Costruzioni idrauliche urbane  - aula8
11:00-12:00,Tecnica delle costruzioni  - aula8,Tecnica delle costruzioni  - aula8,Costruzioni idrauliche urbane  - aula8,Scienza delle costruzioni C  - aula8,Tutorato di Scienza delle costruzioni C  - E8
12:00-13:00,Tecnica delle costruzioni  - aula8,Tecnica delle costruzioni  - aula8,Costruzioni idrauliche urbane  - aula8,Scienza delle costruzioni C  - aula8,Tutorato di Scienza delle costruzioni C  - E8
13:00-14:00,,,,,
14:00-15:00,Termofisica dell'edificio  - aula8,Fondamenti di ingegneria sanitaria ambientale  - E4,Scienza delle costruzioni C  - aula8,Tecnica delle costruzioni  - aula8,Ecologia applicata  - E4,,,Scienza delle costruzioni C  - G2,,
15:00-16:00,Termofisica dell'edificio  - aula8,Fondamenti di ingegneria sanitaria ambientale  - E4,Scienza delle costruzioni C  - aula8,Tecnica delle costruzioni  - aula8,Ecologia applicata  - E4,,,Scienza delle costruzioni C  - G2,,
16:00-17:00,Termofisica dell'edificio  - aula8,Fondamenti di ingegneria sanitaria ambientale  - E4,Scienza delle costruzioni C  - aula8,Ecologia applicata  - E2,,,,Scienza delle costruzioni C  - G2,,
17:00-18:00,Termofisica dell'edificio  - aula8,Fondamenti di ingegneria sanitaria ambientale  - E4,Scienza delle costruzioni C  - aula8,Ecologia applicata  - E2,,,,Scienza delle costruzioni C  - G2,,
