,Lunedì,Martedì,Mercoledì,Giovedì,Venerdì
9:00-10:00,,Scienza delle costruzioni  - aula4,Scienza delle costruzioni  - C6,Chimica  - B2,Architettura e composizione architettonica 2  - H3
10:00-11:00,,Scienza delle costruzioni  - aula4,Scienza delle costruzioni  - C6,Chimica  - B2,Architettura e composizione architettonica 2  - H3
11:00-12:00,,Tutorato di Scienza delle costruzioni  - A2,Chimica  - C6,Scienza delle costruzioni  - aula6,Architettura e composizione architettonica 2  - H3
12:00-13:00,,Tutorato di Scienza delle costruzioni  - A2,Chimica  - C6,Scienza delle costruzioni  - aula6,Architettura e composizione architettonica 2  - H3
13:00-14:00,,,,,
14:00-15:00,,Architettura e composizione architettonica 2  - H3,,Scienza delle costruzioni  - H2,Architettura e composizione architettonica 2  - H3
15:00-16:00,,Architettura e composizione architettonica 2  - H3,,Scienza delle costruzioni  - H2,Architettura e composizione architettonica 2  - H3
16:00-17:00,,Architettura e composizione architettonica 2  - H3,,,Architettura e composizione architettonica 2  - H3
17:00-18:00,,Architettura e composizione architettonica 2  - H3,,,Architettura e composizione architettonica 2  - H3
