,Lunedì,Martedì,Mercoledì,Giovedì,Venerdì
9:00-10:00,Process control  - aula8,Advanced computer architecture  - B4,,Process control  - aula3,
10:00-11:00,Process control  - aula8,Advanced computer architecture  - B4,,Process control  - aula3,
11:00-12:00,,Numerical methods in engineering sciences  - B2,Statistical learning theory  - E2,,Artificial intelligence  - aula5
12:00-13:00,,Numerical methods in engineering sciences  - B2,Statistical learning theory  - E2,,Artificial intelligence  - aula5
13:00-14:00,,,,,
14:00-15:00,,Statistical learning theory  - E8,Advanced computer architecture  - B1,Advanced computer architecture  - E8,Artificial intelligence  - aula5
15:00-16:00,,Statistical learning theory  - E8,Advanced computer architecture  - B1,Advanced computer architecture  - E8,Artificial intelligence  - aula5
16:00-17:00,Numerical methods in engineering sciences  - B2,Process control  - aula6,,,
17:00-18:00,Numerical methods in engineering sciences  - B2,Process control  - aula6,,,
