Lunedì,Martedì,Mercoledì,Giovedì,Venerdì,
9:00-10:00,,Scienza delle costruzioni  - aula6,,Scienza delle costruzioni  - aula6,
10:00-11:00,,Scienza delle costruzioni  - aula6,,Scienza delle costruzioni  - aula6,
11:00-12:00,Elementi di calcolo scientifico per l'ingegneria  - G2,Elementi di calcolo scientifico per l'ingegneria  - aula6,Elementi di calcolo scientifico per l'ingegneria  - G2,Fondamenti di idraulica  - EF2,Elementi di calcolo scientifico per l'ingegneria  - aula6
12:00-13:00,Elementi di calcolo scientifico per l'ingegneria  - G2,Elementi di calcolo scientifico per l'ingegneria  - aula6,Elementi di calcolo scientifico per l'ingegneria  - G2,Fondamenti di idraulica  - EF2,Elementi di calcolo scientifico per l'ingegneria  - aula6
13:00-14:00,,,,,
14:00-15:00,Scienza delle costruzioni  - aula6,,Scienza delle costruzioni  - aula6,Scienza delle costruzioni  - aula6,Fondamenti di idraulica  - EF2
15:00-16:00,Scienza delle costruzioni  - aula6,,Scienza delle costruzioni  - aula6,Scienza delle costruzioni  - aula6,Fondamenti di idraulica  - EF2
16:00-17:00,Tutorato di Scienza delle costruzioni  - aula6,,,Tutorato Fondamenti di idraulica  - aula6,,,,,Tutorato Fondamenti di idraulica  - EF4,
17:00-18:00,Tutorato di Scienza delle costruzioni  - aula6,,,Tutorato Fondamenti di idraulica  - aula6,,,,,Tutorato Fondamenti di idraulica  - EF4,
