,Lunedì,Martedì,Mercoledì,Giovedì,Venerdì
9:00-10:00,Process control  - aula8,Advanced computer architecture  - B4,Iot mobile programming  - D6,Process control  - aula3,
10:00-11:00,Process control  - aula8,Advanced computer architecture  - B4,Iot mobile programming  - D6,Process control  - aula3,
11:00-12:00,Iot mobile programming  - D6,Numerical methods in engineering sciences  - B2,Hardware  software codesign  - E3,,
12:00-13:00,Iot mobile programming  - D6,Numerical methods in engineering sciences  - B2,Hardware  software codesign  - E3,,
13:00-14:00,,,,,
14:00-15:00,Hardware  software codesign  - E4,Iot mobile programming  - D6,Advanced computer architecture  - B1,Advanced computer architecture  - E8,
15:00-16:00,Hardware  software codesign  - E4,Iot mobile programming  - D6,Advanced computer architecture  - B1,Advanced computer architecture  - E8,
16:00-17:00,Numerical methods in engineering sciences  - B2,Process control  - aula6,,,
17:00-18:00,Numerical methods in engineering sciences  - B2,Process control  - aula6,,,
