,Lunedì,Martedì,Mercoledì,Giovedì,Venerdì
9:00-10:00,,Gusci e serbatoi  - aula5,Modelli costitutivi dei materiali  - E7,,Progettazione sismica delle strutture  - E3
10:00-11:00,,Gusci e serbatoi  - aula5,Modelli costitutivi dei materiali  - E7,,Progettazione sismica delle strutture  - E3
11:00-12:00,,Teoria e progetto dei ponti  - F2,,Nonlinear computational mechanics  - E2,Progettazione sismica delle strutture  - E3
12:00-13:00,,Teoria e progetto dei ponti  - F2,,Nonlinear computational mechanics  - E2,Progettazione sismica delle strutture  - E3
13:00-14:00,,,,,
14:00-15:00,,Modelli costitutivi dei materiali  - A3,Teoria e progetto dei ponti  - aula4,,Nonlinear computational mechanics  - E6,,Modelli costitutivi dei materiali  - G2,,,
15:00-16:00,,Modelli costitutivi dei materiali  - A3,Teoria e progetto dei ponti  - aula4,,Nonlinear computational mechanics  - E6,,Modelli costitutivi dei materiali  - G2,,,
16:00-17:00,,Nonlinear computational mechanics  - E7,Teoria e progetto dei ponti  - aula4,,Gusci e serbatoi  - aula5
17:00-18:00,,Nonlinear computational mechanics  - E7,Teoria e progetto dei ponti  - aula4,,Gusci e serbatoi  - aula5
