Lunedì,Martedì,Mercoledì,Giovedì,Venerdì,
9:00-10:00,Web and multimedia technologies  - aula3,Advanced computer architecture  - B4,Digital content retrieval  - E3,Web and multimedia technologies  - E3,,Web and multimedia technologies  - B2,,,,
10:00-11:00,Web and multimedia technologies  - aula3,Advanced computer architecture  - B4,Digital content retrieval  - E3,Web and multimedia technologies  - E3,,Web and multimedia technologies  - B2,,,,
11:00-12:00,Computer vision  - aula6,Numerical methods in engineering sciences  - B2,,Digital content retrieval  - aula5,
12:00-13:00,Computer vision  - aula6,Numerical methods in engineering sciences  - B2,,Digital content retrieval  - aula5,
13:00-14:00,,,,,
14:00-15:00,Digital content retrieval  - B4,Computer vision  - C2,Advanced computer architecture  - B1,Advanced computer architecture  - E8,
15:00-16:00,Digital content retrieval  - B4,Computer vision  - C2,Advanced computer architecture  - B1,Advanced computer architecture  - E8,
16:00-17:00,Numerical methods in engineering sciences  - B2,,,,
17:00-18:00,Numerical methods in engineering sciences  - B2,,,,
