,Lunedì,Martedì,Mercoledì,Giovedì,Venerdì
9:00-10:00,,Optoelectronic devices  - E3,Advanced mathematical methods for engineers  - C7,,Antennas  - E4
10:00-11:00,,Optoelectronic devices  - E3,Advanced mathematical methods for engineers  - C7,Advanced mathematical methods for engineers  - C7,Antennas  - E4
11:00-12:00,Advanced mathematical methods for engineers  - C7,Advanced mathematical methods for engineers  - C7,Antennas  - E4,Microsensori microsistemi integrati e MEMS  - aula4,Microsensori microsistemi integrati e MEMS  - aula8
12:00-13:00,Advanced mathematical methods for engineers  - C7,Advanced mathematical methods for engineers  - C7,Antennas  - E4,Microsensori microsistemi integrati e MEMS  - aula4,Microsensori microsistemi integrati e MEMS  - aula8
13:00-14:00,,,,,
14:00-15:00,Introduction to quantum mechanics and quantum technologies  - C7,Introduction to quantum mechanics and quantum technologies  - C7,Antennas  - E4,Optoelectronic devices  - C7,Optoelectronic devices  - LabEO
15:00-16:00,Introduction to quantum mechanics and quantum technologies  - C7,Introduction to quantum mechanics and quantum technologies  - C7,Antennas  - E4,Optoelectronic devices  - C7,Optoelectronic devices  - LabEO
16:00-17:00,,Microsensori microsistemi integrati e MEMS  - aula8,Tutorato Advanced mathematical methods for engineers  - E3,Optoelectronic devices  - C7,
17:00-18:00,,Microsensori microsistemi integrati e MEMS  - aula8,Tutorato Advanced mathematical methods for engineers  - E3,Optoelectronic devices  - C7,
