,Lunedì,Martedì,Mercoledì,Giovedì,Venerdì
9:00-10:00,Electrical drives for industrial applications  - aula6,Electrical drives for industrial applications  - E8,Applied robotics technologies  - E8,,
10:00-11:00,Electrical drives for industrial applications  - aula6,Electrical drives for industrial applications  - E8,Applied robotics technologies  - E8,,
11:00-12:00,,Robotics  - H2,Robotics  - aula3,,
12:00-13:00,,Robotics  - H2,Robotics  - aula3,,
13:00-14:00,,,,,
14:00-15:00,Logistics management  - E8,Applied robotics technologies  - C3,,Electrical drives for industrial applications  - aula4,Lean production  - E8
15:00-16:00,Logistics management  - E8,Applied robotics technologies  - C3,,Electrical drives for industrial applications  - aula4,Lean production  - E8
16:00-17:00,Logistics management  - E8,Applied robotics technologies  - C3,,Electrical drives for industrial applications  - aula4,Lean production  - E8
17:00-18:00,Logistics management  - E8,Applied robotics technologies  - C3,,Electrical drives for industrial applications  - aula4,Lean production  - E8
