Lunedì,Martedì,Mercoledì,Giovedì,Venerdì,
9:00-10:00,Macchine  - aula4,,Tecnologia meccanica  - aula6,Misure elettriche  - aula4,Misure elettriche  - aula4
10:00-11:00,Macchine  - aula4,,Tecnologia meccanica  - aula6,Misure elettriche  - aula4,Misure elettriche  - aula4
11:00-12:00,Macchine  - aula4,Misure elettriche  - D3,Tecnologia meccanica  - aula6,Elementi di meccanica dei fluidi  - EF2,
12:00-13:00,Macchine  - aula4,Misure elettriche  - D3,Tecnologia meccanica  - aula6,Elementi di meccanica dei fluidi  - EF2,
13:00-14:00,,,,,
14:00-15:00,,,Metallurgia  - aula3,,Elementi di meccanica dei fluidi  - EF2
15:00-16:00,,,Metallurgia  - aula3,,Elementi di meccanica dei fluidi  - EF2
16:00-17:00,,,Metallurgia  - aula3,,
17:00-18:00,,,Metallurgia  - aula3,,
