Lunedì,Martedì,Mercoledì,Giovedì,Venerdì,
9:00-10:00,,Analisi matematica 1  - EF1,Analisi matematica 1  - EF1,Analisi matematica 1  - EF1,Analisi matematica 1  - EF1
10:00-11:00,,Analisi matematica 1  - EF1,Analisi matematica 1  - EF1,Analisi matematica 1  - EF1,Analisi matematica 1  - EF1
11:00-12:00,,Geometria e algebra  - EF1,Elementi di chimica  - EF1,Geometria e algebra  - EF1,Geometria e algebra  - EF1,,,Principi di fisiologia  - EF1,,
12:00-13:00,,Geometria e algebra  - EF1,Elementi di chimica  - EF1,Geometria e algebra  - EF1,Geometria e algebra  - EF1,,,Principi di fisiologia  - EF1,,
13:00-14:00,,,,,
14:00-15:00,,Elementi di chimica  - EF1,Fondamenti di informatica  - EF1,Fondamenti di informatica  - EF1,Elementi di chimica  - EF1,,Principi di fisiologia  - EF1,,,Principi di fisiologia  - EF1
15:00-16:00,,Elementi di chimica  - EF1,Fondamenti di informatica  - EF1,Fondamenti di informatica  - EF1,Elementi di chimica  - EF1,,Principi di fisiologia  - EF1,,,Principi di fisiologia  - EF1
16:00-17:00,,,,,
17:00-18:00,,,,,
