,Lunedì,Martedì,Mercoledì,Giovedì,Venerdì
9:00-10:00,,Fisica II  - aula3,Controlli automatici  - aula3,,
10:00-11:00,,Fisica II  - aula3,Controlli automatici  - aula3,,
11:00-12:00,Fisica II  - aula3,Metodi matematici  - aula3,Controlli automatici  - B2,,Metodi matematici  - aula3,,,Controlli automatici  - C2,,,,,Controlli automatici  - C3,,
12:00-13:00,Fisica II  - aula3,Metodi matematici  - aula3,Controlli automatici  - B2,,Metodi matematici  - aula3,,,Controlli automatici  - C2,,,,,Controlli automatici  - C3,,
13:00-14:00,,,,,
14:00-15:00,Metodi matematici  - aula3,Tutorato Metodi matematici  - aula6,,Fisica II  - aula3,Fisica II  - aula3
15:00-16:00,Metodi matematici  - aula3,Tutorato Metodi matematici  - aula6,,Fisica II  - aula3,Fisica II  - aula3
16:00-17:00,Controlli automatici  - aula3,Tutorato Fisica II  - aula5,,Controlli automatici  - aula3,Controlli automatici  - aula3,,Tutorato di Fisica II  - EF1,,,
17:00-18:00,Controlli automatici  - aula3,Tutorato Fisica II  - aula5,,Controlli automatici  - aula3,Controlli automatici  - aula3,,Tutorato di Fisica II  - EF1,,,
