,Lunedì,Martedì,Mercoledì,Giovedì,Venerdì
9:00-10:00,Dinamica delle strutture  - E2,Dinamica delle strutture  - E2,,Meccanica avanzata dei solidi e delle strutture  - E2,Meccanica avanzata dei solidi e delle strutture  - E2,,Dinamica delle strutture  - G2,,,
10:00-11:00,Dinamica delle strutture  - E2,Dinamica delle strutture  - E2,,Meccanica avanzata dei solidi e delle strutture  - E2,Meccanica avanzata dei solidi e delle strutture  - E2,,Dinamica delle strutture  - G2,,,
11:00-12:00,Meccanica avanzata dei solidi e delle strutture  - E2,Fondazioni ed opere di sostegno  - E7,,Strutture in c.a.  - G2,Dinamica delle strutture  - E2
12:00-13:00,Meccanica avanzata dei solidi e delle strutture  - E2,Fondazioni ed opere di sostegno  - E7,,Strutture in c.a.  - G2,Dinamica delle strutture  - E2
13:00-14:00,,,,,
14:00-15:00,Termofisica dell'edificio  - aula8,Complementi di analisi matematica   - E2,Fondazioni ed opere di sostegno  - E7,Tutorato di Dinamica delle strutture  - G3,Complementi di analisi matematica   - E2
15:00-16:00,Termofisica dell'edificio  - aula8,Complementi di analisi matematica   - E2,Fondazioni ed opere di sostegno  - E7,Tutorato di Dinamica delle strutture  - G3,Complementi di analisi matematica   - E2
16:00-17:00,Termofisica dell'edificio  - aula8,Complementi di analisi matematica   - E2,Strutture in c.a.  - E7,,
17:00-18:00,Termofisica dell'edificio  - aula8,,Strutture in c.a.  - E7,,
