,Lunedì,Martedì,Mercoledì,Giovedì,Venerdì
9:00-10:00,Analisi matematica A  - EF1,Disegno dell'architettura  - G3,Disegno dell'architettura  - G3,,
10:00-11:00,Analisi matematica A  - EF1,Disegno dell'architettura  - G3,Disegno dell'architettura  - G3,,
11:00-12:00,Geometria e algebra  - EF1,Disegno dell'architettura  - G3,Disegno dell'architettura  - G3,Analisi matematica A  - aulaF-Campus Aquae,
12:00-13:00,Geometria e algebra  - EF1,Disegno dell'architettura  - G3,Disegno dell'architettura  - G3,Analisi matematica A  - aulaF-Campus Aquae,
13:00-14:00,,,,,
14:00-15:00,,Analisi matematica A  - EF2,Disegno dell'architettura  - G3,Geometria e algebra  - EF4,
15:00-16:00,,Analisi matematica A  - EF2,Disegno dell'architettura  - G3,Geometria e algebra  - EF4,
16:00-17:00,,Geometria e algebra  - EF2,Disegno dell'architettura  - G3,,
17:00-18:00,,Geometria e algebra  - EF2,Disegno dell'architettura  - G3,,
