,Lunedì,Martedì,Mercoledì,Giovedì,Venerdì
9:00-10:00,Macchine  - aula4,,Elettronica  - B3,Misure elettriche  - aula4,Misure elettriche  - aula4
10:00-11:00,Macchine  - aula4,,Elettronica  - B3,Misure elettriche  - aula4,Misure elettriche  - aula4
11:00-12:00,Macchine  - aula4,Misure elettriche  - D3,Elettronica  - B3,Elementi di meccanica dei fluidi  - EF2,Elettronica  - aula4
12:00-13:00,Macchine  - aula4,Misure elettriche  - D3,Elettronica  - B3,Elementi di meccanica dei fluidi  - EF2,Elettronica  - aula4
13:00-14:00,,,,,
14:00-15:00,Termofisica dell'edificio  - aula8,,,Elettronica  - A2,Elementi di meccanica dei fluidi  - EF2
15:00-16:00,Termofisica dell'edificio  - aula8,,,Elettronica  - A2,Elementi di meccanica dei fluidi  - EF2
16:00-17:00,Termofisica dell'edificio  - aula8,,,,
17:00-18:00,Termofisica dell'edificio  - aula8,,,,
