,Lunedì,Martedì,Mercoledì,Giovedì,Venerdì
9:00-10:00,Satellite data analysis  - C6,Satellite data analysis  - E6,Continuum mechanics  - aulaRicciardi,Continuum mechanics  - aulaRicciardi,,,,,Reliable design and management of urban hydraulic infrastructures  - aulaRicciardi,
10:00-11:00,Satellite data analysis  - C6,Satellite data analysis  - E6,Continuum mechanics  - aulaRicciardi,Continuum mechanics  - aulaRicciardi,,,,,Reliable design and management of urban hydraulic infrastructures  - aulaRicciardi,
11:00-12:00,,Numerical methods in engineering sciences  - B2,,Satellite data analysis  - E4,
12:00-13:00,,Numerical methods in engineering sciences  - B2,,Satellite data analysis  - E4,
13:00-14:00,,,,,
14:00-15:00,,Continuum mechanics  - aulaRicciardi,Contamination and remediation technologies for soils and groundwater  - E6,Continuum mechanics  - aulaRicciardi,Continuum mechanics  - aulaRicciardi,,Reliable design and management of urban hydraulic infrastructures  - aulaRicciardi,,Reliable design and management of urban hydraulic infrastructures  - aulaRicciardi,
15:00-16:00,,Continuum mechanics  - aulaRicciardi,Contamination and remediation technologies for soils and groundwater  - E6,Continuum mechanics  - aulaRicciardi,Continuum mechanics  - aulaRicciardi,,Reliable design and management of urban hydraulic infrastructures  - aulaRicciardi,,Reliable design and management of urban hydraulic infrastructures  - aulaRicciardi,
16:00-17:00,Numerical methods in engineering sciences  - B2,Reliable design and management of urban hydraulic infrastructures  - aulaRicciardi,Contamination and remediation technologies for soils and groundwater  - E6,Reliable design and management of urban hydraulic infrastructures  - aulaRicciardi,
17:00-18:00,Numerical methods in engineering sciences  - B2,Reliable design and management of urban hydraulic infrastructures  - aulaRicciardi,Contamination and remediation technologies for soils and groundwater  - E6,Reliable design and management of urban hydraulic infrastructures  - aulaRicciardi,
