,Lunedì,Martedì,Mercoledì,Giovedì,Venerdì
9:00-10:00,Satellite data analysis  - C6,Satellite data analysis  - E6,Cloud computing  - B4,Financial data science  - E8,Cloud computing  - B4
10:00-11:00,Satellite data analysis  - C6,Satellite data analysis  - E6,Cloud computing  - B4,Financial data science  - E8,Cloud computing  - B4
11:00-12:00,,,Financial data science  - E6,Satellite data analysis  - E4,
12:00-13:00,,,Financial data science  - E6,Satellite data analysis  - E4,
13:00-14:00,,,,,
14:00-15:00,,,Information security  - A2,Information security  - E3,
15:00-16:00,,,Information security  - A2,Information security  - E3,
16:00-17:00,,,Digital transformation projects  - E2,Digital transformation projects  - E3,
17:00-18:00,,,Digital transformation projects  - E2,Digital transformation projects  - E3,
