,Lunedì,Martedì,Mercoledì,Giovedì,Venerdì
9:00-10:00,Electric power systems  - aula5,,Advanced electrical machines   - aula5,,Accumulo e conversione dell'energia  - CF2
10:00-11:00,Electric power systems  - aula5,,Advanced electrical machines   - aula5,,Accumulo e conversione dell'energia  - CF2
11:00-12:00,Numerical methods in electromagnetism   - aula5,Numerical methods in electromagnetism   - aula5,Electric power systems  - aula5,Microsensori microsistemi integrati e MEMS  - aula4,Microsensori microsistemi integrati e MEMS  - aula8
12:00-13:00,Numerical methods in electromagnetism   - aula5,Numerical methods in electromagnetism   - aula5,Electric power systems  - aula5,Microsensori microsistemi integrati e MEMS  - aula4,Microsensori microsistemi integrati e MEMS  - aula8
13:00-14:00,,,,,
14:00-15:00,Accumulo e conversione dell'energia  - CF2,Energy markets and supply structure  - aula4,Advanced electrical machines   - aula5,Industrial measurements and communication systems  - aula5,,Diagnostics for electrical machines  - aula5,Impianti idroelettrici  - aula5,,,
15:00-16:00,Accumulo e conversione dell'energia  - CF2,Energy markets and supply structure  - aula4,Advanced electrical machines   - aula5,Industrial measurements and communication systems  - aula5,,Diagnostics for electrical machines  - aula5,Impianti idroelettrici  - aula5,,,
16:00-17:00,Industrial measurements and communication systems  - aula5,Microsensori microsistemi integrati e MEMS  - aula8,Energy markets and supply structure  - aula5,Industrial measurements and communication systems  - aula5,
17:00-18:00,Industrial measurements and communication systems  - aula5,Microsensori microsistemi integrati e MEMS  - aula8,Energy markets and supply structure  - aula5,Industrial measurements and communication systems  - aula5,
